rank,file_count,directory_name,format_name
1,8817,"IFF-SMUS","IFF-SMUS"
2,1202,"AY Emul","AYEmul (UADE)"
3,818,"Musicline Editor","Musicline Editor"
4,749,"Delitracker Custom","DeliTrackerCustom (UADE)"
5,738,"TFMX","TFMX (mdat)"
6,365,"V2","V2"
7,357,"SoundFX","SoundFX"
8,252,"Sonic Arranger","SonicArranger (sa)"
9,212,"Art Of Noise","ArtOfNoise (aon)"
10,212,"BP SoundMon 2","SoundMon (bp)"
11,183,"FredMon","FredMon"
12,175,"Future Composer 1.3","Future Composer 1.3"
13,174,"Symphonie","Symphonie"
14,154,"Future Composer 1.4","Future Composer 1.4"
15,154,"Richard Joseph","RichardJoseph (rjp)"
16,122,"BP SoundMon 3","SoundMon (bp3)"
17,122,"David Whittaker","DavidWhittaker (dw)"
18,121,"Octalyser","Octalyser"
19,107,"SidMon 2","SidMon 2"
20,104,"His Master's Noise","His Master's Noise"
21,99,"Delta Music 2","DeltaMusic2 (dlm2)"
22,98,"Hippel ST COSO","Hippel ST COSO"
23,95,"Face The Music","Face The Music"
24,93,"Hippel COSO","Hippel COSO"
25,91,"Startrekker AM","Startrekker AM"
26,86,"Digital Mugician","DigitalMugician (dmu)"
27,82,"MaxTrax","MaxTrax"
28,77,"TFM Music Maker","TFM Music Maker"
29,70,"MusicMaker V8","MusicMaker V8"
30,64,"Hippel","Hippel"
31,64,"Jason Page","JasonPage (jpn)"
32,64,"Pretracker","Pretracker"
33,64,"Stonetracker","Stonetracker"
34,61,"Zoundmonitor","Zoundmonitor"
35,60,"Graoumf Tracker 2","Graoumf Tracker 2"
36,59,"SidMon 1","SidMon 1"
37,48,"JamCracker","JamCracker (jam)"
38,46,"Dave Lowe","DaveLowe (dl)"
39,45,"Ben Daglish","BenDaglish (bd)"
40,44,"HivelyTracker","HivelyTracker (hvl)"
41,44,"MIDI-Loriciel","MIDI-Loriciel"
42,44,"Pumatracker","Pumatracker"
43,42,"Dave Lowe New","DaveLoweNew (dln)"
44,38,"Jesper Olsen","JesperOlsen (jo)"
45,37,"Farandole Composer","Farandole Composer"
46,35,"Mark II","Mark II"
47,34,"Beathoven Synthesizer","BeathovenSynthesizer (bss)"
48,33,"AY Amadeus","AYAmadeus (UADE)"
49,31,"Digital Sound Studio","DigitalSoundStudio (dss)"
50,31,"Special FX","SpecialFX (jd)"
51,29,"Maniacs Of Noise","ManiacsOfNoise (mon)"
52,29,"Synth Dream","Synth Dream"
53,24,"Wally Beben","WallyBeben (wb)"
54,19,"Hippel ST","Hippel ST"
55,19,"Sound Master II v3","Sound Master II v3"
56,19,"Synth Pack","SynthPack (syn)"
57,18,"Jason Brooke","JasonBrooke (jcb)"
58,18,"Kris Hatlelid","KrisHatlelid (kh)"
59,18,"Quadra Composer","Quadra Composer"
60,18,"SoundControl","SoundControl"
